FRAGMENT	FPFMIN	FPSMIN	FPFMAX	FPSMAX	FPFAVG	FPSAVG
IKHGUXGNUITLKF-UHFFFAOYSA-N~A0A0H2UHF1	1.00	1.00	1.00	1.00	1.00	1.00
ISAKRJDGNUQOIC-UHFFFAOYSA-N~A0A0H2UHF1	0.33	0.33	1.00	1.00	0.53	0.53
HNPYBPXXPMVWIY-UHFFFAOYSA-N~A0A0H2UHF1	0.70	0.60	0.88	0.88	0.78	0.77
CEIJUIXPDWEGOA-UHFFFAOYSA-N~A0A0H2UHF1	0.33	1.00	0.33	1.00	0.33	1.00
LLRSBEXKLNOWPS-UHFFFAOYSA-N~A0A0H2UHF1	0.56	1.00	0.56	1.00	0.56	1.00
NQRYJNQNLNOLGT-UHFFFAOYSA-N~P00720	1.00	1.00	1.00	1.00	1.00	1.00
IJDNQMDRQITEOD-UHFFFAOYSA-N~P00720	0.00	0.00	1.00	1.00	0.75	0.39
KXTLIRMKUOIKOJ-UHFFFAOYSA-N~P50030	0.17	0.22	1.00	1.00	0.61	0.61
ZABGJYQLVXVHIY-UHFFFAOYSA-N~P50030	0.58	0.83	1.00	1.00	0.83	0.93
ZQIKOFQDOJUSGS-UHFFFAOYSA-N~P50030	0.20	0.20	1.00	1.00	0.55	0.59
RAVGNNFHFSXMRG-UHFFFAOYSA-N~P50030	0.58	0.86	1.00	1.00	0.82	0.94
WVQHWRROXHTPMN-UHFFFAOYSA-N~P50030	0.00	0.00	1.00	1.00	0.33	0.47
VDQSEOHUMXNSEG-UHFFFAOYSA-N~P50030	0.00	0.00	1.00	1.00	0.38	0.42
KTAWGEZTOUKORL-UHFFFAOYSA-N~P50030	0.42	0.33	1.00	1.00	0.74	0.69
KXTLIRMKUOIKOJ-UHFFFAOYSA-N~P72505	0.50	0.50	1.00	1.00	0.84	0.80
KTAWGEZTOUKORL-UHFFFAOYSA-N~P72505	0.50	0.57	1.00	1.00	0.78	0.83
HZAXFHJVJLSVMW-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.33	0.33
LAZFHIDCUUAVLK-UHFFFAOYSA-N~nan	0.17	0.33	0.17	0.33	0.17	0.33
KPDBJZUAABGPIN-UHFFFAOYSA-N~Q8XDB2	0.00	0.25	1.00	1.00	0.36	0.53
FFMZJRIUKRMUJN-UHFFFAOYSA-N~Q8XDB2	0.09	0.00	0.62	0.57	0.29	0.14
XHLCYFVJQKWNRH-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.60	0.52
IQLMNJFYNWPSST-UHFFFAOYSA-N~Q8XDB2	0.00	0.00	0.45	0.57	0.21	0.10
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q8XDB2	0.18	0.14	1.00	1.00	0.53	0.39
QUSNBJAOOMFDIB-UHFFFAOYSA-N~nan	1.00	0.00	1.00	1.00	1.00	0.81
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q8XDB2	0.50	0.67	1.00	1.00	0.67	0.78
MCHWWJLLPNDHGL-UHFFFAOYSA-N~Q8XDB2	0.22	0.50	0.22	0.50	0.22	0.50
HUMNYLRZRPPJDN-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.18	0.19
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P71119	0.00	0.00	1.00	1.00	0.60	0.33
MCHWWJLLPNDHGL-UHFFFAOYSA-N~P71119	0.00	0.00	1.00	1.00	0.30	0.45
YXFVVABEGXRONW-UHFFFAOYSA-N~P06730	0.20	0.33	0.25	0.50	0.22	0.44
SUEDKWBZGMCBTL-UHFFFAOYSA-N~Q2N0S6	1.00	0.00	1.00	1.00	1.00	0.59
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P01857	0.00	0.00	1.00	1.00	0.93	0.89
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P07683	0.00	0.00	1.00	1.00	0.67	0.40
NZYHOIVONUQSLS-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.96	0.77
POHLHDSBJAEFFB-UHFFFAOYSA-N~P07683	1.00	1.00	1.00	1.00	1.00	1.00
HDEMQQHXNOJATE-UHFFFAOYSA-N~P07683	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~P50250	0.00	0.00	1.00	1.00	0.41	0.31
KZVAAIRBJJYZOW-UHFFFAOYSA-N~P50250	0.57	0.43	1.00	1.00	0.73	0.62
NJQRAAHKQQPUIT-UHFFFAOYSA-N~P50250	1.00	1.00	1.00	1.00	1.00	1.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P01857	0.00	0.00	1.00	1.00	0.77	0.67
VIUDTWATMPPKEL-UHFFFAOYSA-N~P00720	0.89	1.00	0.89	1.00	0.89	1.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P00797	0.00	0.00	1.00	1.00	0.67	0.38
XOBKSJJDNFUZPF-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.96	0.59
OFBQJSOFQDEBGM-UHFFFAOYSA-N~P00720	0.00	0.00	1.00	1.00	0.48	0.40
ISAKRJDGNUQOIC-UHFFFAOYSA-N~P13280	0.08	0.00	1.00	1.00	0.42	0.38
PYLWMHQQBFSUBP-UHFFFAOYSA-N~P10845	0.67	0.75	0.67	0.75	0.67	0.75
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P13280	0.55	0.50	0.82	0.91	0.66	0.66
UHOVQNZJYSORNB-UHFFFAOYSA-N~Q8N884	1.00	1.00	1.00	1.00	1.00	1.00
NJHDOZRKTCPDQE-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.75	0.44
KBVSUNBCTPQWJL-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.91	0.82
QFHKFGOUFKUPNX-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.84	0.61
IKHGUXGNUITLKF-UHFFFAOYSA-N~P00797	0.00	0.00	1.00	1.00	0.73	0.52
PZLPHPNLSOFQMW-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.41	0.30
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q94521	1.00	1.00	1.00	1.00	1.00	1.00
WFCSWCVEJLETKA-UHFFFAOYSA-N~Q94521	0.00	0.00	0.00	0.00	0.00	0.00
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q94521	0.40	0.57	0.40	0.57	0.40	0.57
BHHGXPLMPWCGHP-UHFFFAOYSA-N~Q13464	0.33	0.50	0.67	0.75	0.50	0.64
NRNCQWQVCPBMII-UHFFFAOYSA-N~Q94521	0.40	0.57	0.40	0.57	0.40	0.57
TVMXDCGIABBOFY-UHFFFAOYSA-N~A7ZKT2	1.00	1.00	1.00	1.00	1.00	1.00
GLUUGHFHXGJENI-UHFFFAOYSA-N~Q94521	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~A7ZKT2	0.00	0.00	0.00	0.00	0.00	0.00
IQLMNJFYNWPSST-UHFFFAOYSA-N~Q9H7B4	0.15	0.17	0.80	1.00	0.45	0.50
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9H7B4	0.29	0.43	1.00	1.00	0.60	0.69
FFMZJRIUKRMUJN-UHFFFAOYSA-N~Q9H7B4	0.31	0.25	0.85	1.00	0.55	0.60
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q97UY8	1.00	1.00	1.00	1.00	1.00	1.00
CYZZKTRFOOKUMT-UHFFFAOYSA-N~P54619	0.13	0.00	0.90	1.00	0.51	0.42
ABLZXFCXXLZCGV-UHFFFAOYSA-N~Q97UY8	1.00	1.00	1.00	1.00	1.00	1.00
UKDWXNRCKBVDNJ-UHFFFAOYSA-N~Q97UY8	0.75	0.88	1.00	1.00	0.83	0.92
LQNUZADURLCDLV-UHFFFAOYSA-N~P0A5Y7	0.00	0.50	0.50	1.00	0.17	0.67
JJYPMNFTHPTTDI-UHFFFAOYSA-N~P0A5Y7	0.00	0.50	1.00	1.00	0.40	0.70
RTZKZFJDLAIYFH-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	1.00	1.00	0.40
IJDNQMDRQITEOD-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	1.00	0.60	0.32
NVJUHMXYKCUMQA-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	0.00	1.00	0.00
CAQYAZNFWDDMIT-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	0.00	1.00	0.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~P54619	0.00	0.00	1.00	1.00	0.42	0.28
MZBACIJSSOHXQA-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	0.00	1.00	0.00
XOBKSJJDNFUZPF-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	1.00	1.00	0.33
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	1.00	0.75	0.18
XTXSRNPFTNSIFY-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	0.50	0.16	0.07
NRNCQWQVCPBMII-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	0.19	0.60	0.12	0.20
XXJWXESWEXIICW-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	1.00	1.00	0.33
GLUUGHFHXGJENI-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	1.00	0.25	0.25
WFCSWCVEJLETKA-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	0.50	0.50	0.17	0.17
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	1.00	1.00	0.33
QFHKFGOUFKUPNX-UHFFFAOYSA-N~P01857	0.00	0.00	1.00	1.00	0.90	0.79
LZDKZFUFMNSQCJ-UHFFFAOYSA-N~P0A5Y7	1.00	0.00	1.00	0.00	1.00	0.00
BDAGIHXWWSANSR-UHFFFAOYSA-N~P59071	0.00	1.00	0.00	1.00	0.00	1.00
WYURNTSHIVDZCO-UHFFFAOYSA-N~P03369	0.09	0.25	1.00	1.00	0.31	0.48
NNPPMTNAJDCUHE-UHFFFAOYSA-N~P03369	0.00	0.00	1.00	1.00	0.78	0.45
DYHJCQLXZIELGG-UHFFFAOYSA-N~P03369	0.00	0.00	0.86	1.00	0.49	0.56
MOAAMDLYGHUMOE-UHFFFAOYSA-N~P03369	0.00	0.00	0.89	1.00	0.45	0.51
RHCZPSYTFNEZBK-UHFFFAOYSA-N~P03369	0.00	0.00	0.95	1.00	0.45	0.52
XDJREQJXWMAAKA-UHFFFAOYSA-N~P03369	0.00	0.00	1.00	1.00	0.35	0.47
WPYJKGWLDJECQD-UHFFFAOYSA-N~P04585	0.00	0.00	1.00	1.00	0.21	0.61
SMZUMFSKQVVOOV-UHFFFAOYSA-N~P03369	0.00	0.00	1.00	1.00	0.30	0.46
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q9KU37	1.00	0.00	1.00	0.00	1.00	0.00
DYDNPESBYVVLBO-UHFFFAOYSA-N~Q9KU37	0.25	0.67	0.25	0.67	0.25	0.67
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q9UHI6	0.60	0.89	0.60	0.89	0.60	0.89
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~Q9KU37	0.25	0.67	0.25	0.67	0.25	0.67
CYZZKTRFOOKUMT-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.31	0.19
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9UHI6	0.09	0.33	1.00	1.00	0.44	0.64
SNRUBQQJIBEYMU-UHFFFAOYSA-N~Q1MX24	1.00	1.00	1.00	1.00	1.00	1.00
POHLHDSBJAEFFB-UHFFFAOYSA-N~Q1MX24	0.00	0.00	0.00	0.00	0.00	0.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P01857	0.00	0.00	1.00	1.00	0.77	0.43
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q1MX24	0.00	0.00	0.00	0.00	0.00	0.00
KBVSUNBCTPQWJL-UHFFFAOYSA-N~Q5KU26	0.00	0.50	0.33	1.00	0.06	0.70
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q5KU26	1.00	1.00	1.00	1.00	1.00	1.00
ANVIVNNVGFGYQX-UHFFFAOYSA-N~Q5KU26	0.00	0.00	1.00	1.00	0.50	0.50
GWUHLJYZGOAMBL-UHFFFAOYSA-N~Q5KU26	1.00	0.00	1.00	1.00	1.00	0.50
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q5KU26	0.00	0.50	1.00	1.00	0.17	0.75
NJQRAAHKQQPUIT-UHFFFAOYSA-N~P0DJA2	0.00	0.00	0.12	0.25	0.02	0.10
GFFGJBXGBJISGV-UHFFFAOYSA-N~P0DJA2	0.00	0.33	1.00	1.00	0.17	0.53
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.53
WFSMVVDJSNMRAR-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
XXJWXESWEXIICW-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
NJRFAMBTWHGSDE-UHFFFAOYSA-N~Q96CA5	1.00	1.00	1.00	1.00	1.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
LZDKZFUFMNSQCJ-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
RRQYJINTUHWNHW-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
GTAKOUPXIUWZIA-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
GFFGJBXGBJISGV-UHFFFAOYSA-N~A0EKU1	0.50	0.60	1.00	1.00	0.68	0.74
KIAMPLQEZAMORJ-UHFFFAOYSA-N~Q96CA5	1.00	0.00	1.00	1.00	1.00	0.50
PCRFFXYXNNSCDH-UHFFFAOYSA-N~P17612	0.44	0.67	0.44	0.67	0.44	0.67
NRNCQWQVCPBMII-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.14	0.10
WFCSWCVEJLETKA-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.44	0.28
IKHGUXGNUITLKF-UHFFFAOYSA-N~P54317	1.00	1.00	1.00	1.00	1.00	1.00
FXHGMKSSBGDXIY-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.42	0.15
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P54317	1.00	1.00	1.00	1.00	1.00	1.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.18	0.10
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P54317	0.00	0.00	0.00	0.00	0.00	0.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	1.00	0.56	0.74
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P54317	1.00	1.00	1.00	1.00	1.00	1.00
DYBAQWLAKFCVBP-UHFFFAOYSA-N~P54317	1.00	1.00	1.00	1.00	1.00	1.00
GLUUGHFHXGJENI-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.53	0.37
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P54317	1.00	1.00	1.00	1.00	1.00	1.00
PEDCQBHIVMGVHV-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.57	0.27
DNIAPMSPPWPWGF-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.81	0.58
IKHGUXGNUITLKF-UHFFFAOYSA-N~P00598	0.00	0.00	1.00	1.00	0.64	0.38
WFSMVVDJSNMRAR-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.68	0.30
LQNUZADURLCDLV-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.21	0.18
UYTPUPDQBNUYGX-UHFFFAOYSA-N~Q9UYR9	0.31	0.67	1.00	1.00	0.54	0.87
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q9UYR9	0.25	0.27	0.72	1.00	0.44	0.60
FDGQSTZJBFJUBT-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.61	0.58
GLUUGHFHXGJENI-UHFFFAOYSA-N~Q04771	0.00	0.00	1.00	1.00	0.47	0.45
SMWDFEZZVXVKRB-UHFFFAOYSA-N~Q04771	0.20	0.29	1.00	1.00	0.46	0.57
LDIJKUBTLZTFRG-UHFFFAOYSA-N~Q04771	0.25	0.25	1.00	1.00	0.68	0.74
UHOVQNZJYSORNB-UHFFFAOYSA-N~Q04771	0.00	0.00	1.00	1.00	0.50	0.38
YZTJYBJCZXZGCT-UHFFFAOYSA-N~Q04771	0.00	0.00	1.00	1.00	0.26	0.54
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~P07379	0.00	0.00	1.00	1.00	0.53	0.42
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P07379	0.00	0.00	1.00	1.00	0.70	0.56
MPCAJMNYNOGXPB-UHFFFAOYSA-N~Q2N0S6	0.00	0.00	1.00	1.00	0.89	0.67
UYTPUPDQBNUYGX-UHFFFAOYSA-N~P07379	0.24	0.57	1.00	1.00	0.59	0.92
IMROMDMJAWUWLK-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.27
XXJWXESWEXIICW-UHFFFAOYSA-N~P02787	0.00	0.00	1.00	1.00	0.83	0.45
GTAKOUPXIUWZIA-UHFFFAOYSA-N~P02787	0.00	0.00	1.00	1.00	0.75	0.25
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.51
RTZKZFJDLAIYFH-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.51
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.38
LZDKZFUFMNSQCJ-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.38
RRQYJINTUHWNHW-UHFFFAOYSA-N~P02787	0.00	0.00	1.00	1.00	0.75	0.39
WVVKLQLZCOWLJE-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.27
XOBKSJJDNFUZPF-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.31
BDAGIHXWWSANSR-UHFFFAOYSA-N~P02787	0.00	0.00	1.00	1.00	0.38	0.46
AQTXQKLSGIQQRL-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.20
WFSMVVDJSNMRAR-UHFFFAOYSA-N~P02787	0.00	0.00	1.00	1.00	0.80	0.38
CAQYAZNFWDDMIT-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.31
CNJRPYFBORAQAU-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.20
XBZASLXBKCWMFW-UHFFFAOYSA-N~P02787	1.00	1.00	1.00	1.00	1.00	1.00
SYYJBJXMAYHAJS-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
SLNYBUIEAMRFSZ-UHFFFAOYSA-N~P02787	1.00	1.00	1.00	1.00	1.00	1.00
JRRDISHSXWGFRF-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
IKHGUXGNUITLKF-UHFFFAOYSA-N~P03369	0.00	0.00	1.00	1.00	0.42	0.14
GFFGJBXGBJISGV-UHFFFAOYSA-N~P0A5Y7	0.00	0.00	1.00	1.00	0.45	0.69
DDEVGHHCCQALJO-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
RGKFLNJKDBGXAR-UHFFFAOYSA-N~P02787	0.00	0.00	0.00	0.00	0.00	0.00
TVMXDCGIABBOFY-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.37	0.14
WULAHPYSGCVQHM-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
HWCLMKDWXUGDKL-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.40
FJKIXWOMBXYWOQ-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.40
SBASXUCJHJRPEV-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
HDUOBOAWDSZFTJ-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
BWINXRRZIDFCND-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
MBQIGVLDESBKFG-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
CQWCQYYVNBDKKP-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
SBZXBUIDTXKZTM-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
JLGLQAWTXXGVEM-UHFFFAOYSA-N~P02787	1.00	1.00	1.00	1.00	1.00	1.00
PLZXKKJNAMGNDX-UHFFFAOYSA-N~P02787	0.00	0.00	0.00	0.00	0.00	0.00
XRBWKWGATZNBFW-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
VUIWJRYTWUGOOF-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
XNWFRZJHXBZDAG-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	1.00	1.00	0.33
AYMDJPGTQFHDSA-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
UIWKTJPWCOIUHE-UHFFFAOYSA-N~P02787	1.00	1.00	1.00	1.00	1.00	1.00
QGQJJDWETSALAM-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
YTHNRKLPSLWOCN-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
ZNYRFEPBTVGZDN-UHFFFAOYSA-N~P02787	1.00	0.00	1.00	0.00	1.00	0.00
HYBBIBNJHNGZAN-UHFFFAOYSA-N~P16083	1.00	0.00	1.00	1.00	1.00	0.33
QRTDTRCGZCHEER-UHFFFAOYSA-N~P12724	0.00	0.00	1.00	1.00	0.17	0.29
PKRTWUQHAOJXBO-UHFFFAOYSA-N~P12724	0.00	0.00	1.00	1.00	0.16	0.27
DOMXBIBBBIULRS-UHFFFAOYSA-N~P12724	0.00	0.00	1.00	0.80	0.16	0.17
RDOXTESZEPMUJZ-UHFFFAOYSA-N~nan	0.00	0.00	1.00	0.00	0.32	0.00
QCHXLHKARBTJRC-UHFFFAOYSA-N~P12724	0.00	0.00	1.00	1.00	0.21	0.15
XTXSRNPFTNSIFY-UHFFFAOYSA-N~nan	0.00	0.00	1.00	1.00	0.17	0.09
